76	63418	0.00463366	0.0704255	0.267523	0.0830533	0.854444	1.29003	0.968697	0.146104	1.07004	0.0811037	6.00851	1.32446	0.171856	0.793526	0.26463148	0.0089708	0.078951933	1.013704925	38.97358052	21.65198918	0.180608
77	74581	0.00449714	0.0740971	0.277214	0.0855161	0.833456	1.3101	0.955565	0.143465	1.06996	0.0795849	5.47064	1.40174	0.173206	0.838613	0.743841468	0.011587623	0.139806312	0.672109163	45.16056579	25.08920321	0.226849
78	78596	0.00481966	0.0686628	0.27847	0.0916702	0.84763	1.26873	1.06387	0.162238	1.04978	0.0779016	5.86651	1.60379	0.174093	0.826707	0.735077	0.005958775	0.199123275	1.195082559	43.29785629	24.05436461	0.205448
79	68173	0.004433	0.0733503	0.256319	0.0829378	0.82545	1.30697	0.994369	0.141967	1.08947	0.0815883	5.66883	1.36075	0.176829	0.813693	0.304255961	0.006082679	0.05116876	1.384525144	31.39833508	17.44351949	0.199617
80	74052	0.00436774	0.0731497	0.268607	0.081009	0.839955	1.25787	1.02028	0.133246	1.09061	0.0831048	5.20933	1.2888	0.176424	0.8173	0.352644356	0.006192834	0.131733199	1.010918241	19.51873639	10.84374244	0.204426
81	76261	0.00455696	0.0727312	0.267784	0.084607	0.823833	1.38771	0.958077	0.129109	1.07225	0.08075	5.36843	1.38929	0.17091	0.821753	0.41633805	0.00928144	0.108366246	1.175814549	40.83376802	22.68542668	0.29162
82	74581	0.00449714	0.0740971	0.277214	0.0855161	0.833456	1.3101	0.955565	0.143465	1.06996	0.0795849	5.47064	1.40174	0.173206	0.838613	0.662961359	0.007177601	0.065121343	1.436947293	38.14981665	21.19434258	0.226849
83	70342	0.0044762	0.0735165	0.261055	0.0849446	0.829419	1.24869	1.09316	0.15414	1.09217	0.084026	5.10358	1.36098	0.174886	0.828371	0.588785929	0.008267696	0.100429222	1.042511462	27.68813313	15.38229618	0.189273
84	70765	0.00438033	0.0747464	0.261909	0.0804441	0.833541	1.24782	1.01731	0.149667	1.09965	0.0827088	5.56419	1.33205	0.17057	0.783522	0.140410807	0.009675174	0.187457523	0.960095318	30.347815	16.85989722	0.188386
85	74725	0.00439055	0.0744448	0.277058	0.0819116	0.840353	1.30084	0.988782	0.129228	1.0826	0.0817903	5.13174	1.26082	0.173602	0.813353	0.667477826	0.006252334	0.105018372	1.134080131	53.61097844	29.78387691	0.223696
86	70303	0.00433439	0.0726894	0.265048	0.0810574	0.84739	1.24395	1.03435	0.129377	1.09496	0.0826488	5.19879	1.3095	0.176047	0.784919	0.422214651	0.008816146	0.106583048	0.876372836	28.66494489	15.92496939	0.207053
